std_train_score,split4_test_score,rank_test_score,param_n_neighbors,param_p,split2_train_score,std_score_time,split4_train_score,split2_test_score,mean_score_time,mean_fit_time,split3_train_score,split0_train_score,std_test_score,split1_train_score,split0_test_score,mean_test_score,params,std_fit_time,split3_test_score,mean_train_score,split1_test_score
0.0,0.5,1,10,1,0.5,0.009485955955748419,0.5,0.5,0.3741650104522705,0.048567581176757815,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 10, 'p': 1}",0.0019580739853577124,0.5,0.5,0.5
0.053846153846153835,0.49206349206349204,11,10,2,0.5,0.0020410654912337138,0.6346153846153846,0.5,0.37540206909179685,0.050123167037963864,0.5,0.5,0.0031619694414167505,0.5,0.5,0.49842945093604724,"{'n_neighbors': 10, 'p': 2}",0.005547633182293183,0.5,0.5269230769230769,0.5
0.06153846153846154,0.49206349206349204,11,10,3,0.5,0.0099062704386747,0.6538461538461539,0.5,2.8508230686187743,0.04859538078308105,0.5,0.5,0.0031619694414167505,0.5,0.5,0.49842945093604724,"{'n_neighbors': 10, 'p': 3}",0.0002620247475409934,0.5,0.5307692307692308,0.5
0.0,0.5,1,15,1,0.5,0.0010933157389397979,0.5,0.5,0.3685971736907959,0.047190380096435544,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 15, 'p': 1}",0.00026241646373595596,0.5,0.5,0.5
0.0,0.5,1,15,2,0.5,0.002484877935011345,0.5,0.5,0.3760831356048584,0.04722123146057129,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 15, 'p': 2}",0.0002595360480220783,0.5,0.5,0.5
0.0,0.5,1,15,3,0.5,0.012698515740229973,0.5,0.5,2.851164388656616,0.04871459007263183,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 15, 'p': 3}",0.00022907861555510989,0.5,0.5,0.5
0.0,0.5,1,21,1,0.5,0.0025015418386406885,0.5,0.5,0.36943941116333007,0.047285604476928714,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 21, 'p': 1}",0.0002887786772625358,0.5,0.5,0.5
0.0,0.5,1,21,2,0.5,0.002913651419668169,0.5,0.5,0.3764899253845215,0.047225427627563474,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 21, 'p': 2}",0.00014819454488405775,0.5,0.5,0.5
0.0,0.5,1,21,3,0.5,0.012972161017450108,0.5,0.5,2.854584074020386,0.048560047149658205,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 21, 'p': 3}",0.00022427657461681776,0.5,0.5,0.5
0.0,0.5,1,27,1,0.5,0.0032241561021918775,0.5,0.5,0.3710522174835205,0.04723620414733887,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 27, 'p': 1}",0.0002386740269716116,0.5,0.5,0.5
0.0,0.5,1,27,2,0.5,0.0018065432865833066,0.5,0.5,0.3751804351806641,0.04874734878540039,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 27, 'p': 2}",0.0030721756128027585,0.5,0.5,0.5
0.0,0.5,1,27,3,0.5,0.010468090524942776,0.5,0.5,2.8512393951416017,0.04875001907348633,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_neighbors': 27, 'p': 3}",0.00021291051971805905,0.5,0.5,0.5
